Id,Date,Vendor,Amount,Type,Category,Account,AppliedToBalance
56,2025-07-17,UG-HS-UC CHEF'S HALL GUELPH ON,-14.07,Expense,Uncategorized,RBC,False
57,2025-07-17,UG-HS-UC CHEF'S HALL GUELPH ON,-1.92,Expense,Uncategorized,RBC,False
58,2025-07-18,SQ *THE VAULT COFFEE & Fergus ON,-12.1,Expense,Uncategorized,RBC,False
59,2025-07-19,BASKIN ROBBINS/KERNELS CONCORD ON,-9.03,Expense,Uncategorized,RBC,False
60,2025-07-19,CHICK-FIL-A-RUTHERFORD CONCORD ON,-14.11,Expense,Uncategorized,RBC,False
61,2025-07-21,PETRO-CANADA 00233 ETOBICOKE ON,-75.66,Expense,Uncategorized,RBC,False
62,2025-07-22,CENTURION COFFEE-GUELP GUELPH ON,-9.83,Expense,Uncategorized,RBC,False
63,2025-07-23,LONGO'S GUELPH GUELPH ON,-4.99,Expense,Uncategorized,RBC,False
64,2025-07-24,ZEHRS GUELPH CLAIR # 5 GUELPH ON,-6.2,Expense,Uncategorized,RBC,False
65,2025-07-25,DOLLARAMA # 810 GUELPH ON,-18.65,Expense,Uncategorized,RBC,False
66,2025-07-25,FOOD BASICS 862 GUELPH ON,-13.61,Expense,Uncategorized,RBC,False
67,2025-07-25,LONGO'S GUELPH GUELPH ON,-46.62,Expense,Uncategorized,RBC,False
68,2025-07-26,SQ *LAKE ST SUBS AND C St CatharinesON,-17.46,Expense,Uncategorized,RBC,False
69,2025-07-26,TIM HORTONS #6312 NIAGARA FALLSON,-6.11,Expense,Uncategorized,RBC,False
70,2025-07-26,PETRO-CANADA 35366 ABERFOYLE ON,-20.51,Expense,Uncategorized,RBC,False
71,2025-07-27,SQ *BURGER DROPS Toronto ON,-29.15,Expense,Uncategorized,RBC,False
72,2025-07-27,SQ *BURGER DROPS Toronto ON,-5.0,Expense,Uncategorized,RBC,False
73,2025-07-27,TORONTO PARKING AUTHOR TORONTO ON,-16.5,Expense,Uncategorized,RBC,False
74,2025-07-27,PETRO-CANADA 35366 ABERFOYLE ON,-60.99,Expense,Uncategorized,RBC,False
75,2025-07-29,CENTURION COFFEE-GUELP GUELPH ON,-6.38,Expense,Uncategorized,RBC,False
76,2025-07-29,CENTURION COFFEE-GUELP GUELPH ON,-4.51,Expense,Uncategorized,RBC,False
77,2025-07-31,Venuplus Village Vacan SAINT-GABRIELQC,-3.0,Expense,Uncategorized,RBC,False
78,2025-07-31,Canada s Wonderland MAPLE ON,-3.0,Expense,Uncategorized,RBC,False
79,2025-08-01,TST-Pai Northern Thai Toronto ON,-101.0,Expense,Uncategorized,RBC,False
80,2025-08-01,KIBO MARKET UNION TORONTO ON,-7.07,Expense,Uncategorized,RBC,False
81,2025-08-01,NORD LYON TORONTO ON,-19.87,Expense,Uncategorized,RBC,False
82,2025-08-01,NORD LYON TORONTO ON,-15.87,Expense,Uncategorized,RBC,False
83,2025-08-01,BO'S NO FRILLS 7952 TORONTO ON,-1.41,Expense,Uncategorized,RBC,False
84,2025-08-01,PETRO-CANADA 65239 HAMILTON ON,-35.27,Expense,Uncategorized,RBC,False
85,2025-08-03,DOLLARAMA # 555 TORONTO ON,-8.76,Expense,Uncategorized,RBC,False
86,2025-08-07,FOOD BASICS 862 GUELPH ON,-6.19,Expense,Uncategorized,RBC,False
87,2025-08-08,NOFRILLS DOMENICS 793 GUELPH ON,-7.5,Expense,Uncategorized,RBC,False
88,2025-08-08,CENTURION COFFEE-GUELP GUELPH ON,-10.01,Expense,Uncategorized,RBC,False
89,2025-08-09,ZEHRS GUELPH CLAIR # 5 GUELPH ON,-6.15,Expense,Uncategorized,RBC,False
90,2025-08-12,BINGZ CRISPY BURGER Toronto ON,-17.5,Expense,Uncategorized,RBC,False
91,2025-08-12,HAZUKIDO UNION STATION TORONTO ON,-6.15,Expense,Uncategorized,RBC,False
92,2025-08-12,TBJ CONCESSIONS TORONTO ON,-12.58,Expense,Uncategorized,RBC,False
93,2025-08-12,TBJ CONCESSIONS TORONTO ON,-10.45,Expense,Uncategorized,RBC,False
94,2025-08-12,TBJ CONCESSIONS TORONTO ON,-8.46,Expense,Uncategorized,RBC,False
95,2025-08-12,PETRO-CANADA 65239 HAMILTON ON,-33.56,Expense,Uncategorized,RBC,False
96,2025-08-13,SQ *HEY!MOM Toronto ON,-17.4,Expense,Uncategorized,RBC,False
97,2025-08-14,PAYMENT - THANK YOU / PAIEMENT - MERCI,754.42,Income,Uncategorized,RBC,False
98,2025-08-13,PETRO-CANADA 35366 ABERFOYLE ON,-71.79,Expense,Uncategorized,RBC,False
99,2025-08-14,TRANSPORTATION SERVICE BURLINGTON ON,-64.0,Expense,Uncategorized,RBC,False
100,2025-08-16,THE DOCTOR'S HOUSE KLEINBURG ON,-25.0,Expense,Uncategorized,RBC,False
101,2025-08-17,PIONEER # 362 VAUGHAN ON,-53.55,Expense,Uncategorized,RBC,False
102,2025-08-17,MR. PRETZELS GUELPH ON,-6.2,Expense,Fast Food,RBC,False
103,2025-08-18,CENTURION COFFEE-GUELP GUELPH ON,-8.86,Expense,Coffee,RBC,False
104,2025-08-21,NOFRILLS DOMENICS 793 GUELPH ON,-9.52,Expense,Uncategorized,RBC,False
105,2025-08-21,CENTURION COFFEE-GUELP GUELPH ON,-4.19,Expense,Uncategorized,RBC,False
106,2025-08-21,CENTURION COFFEE-GUELP GUELPH ON,-9.44,Expense,Coffee,RBC,False
107,2025-08-23,PETRO-CANADA 35366 ABERFOYLE ON,-40.08,Expense,Gas,RBC,False
108,2025-08-23,A AND W QPS PUSLINCH ON,-6.76,Expense,Fast Food,RBC,False
